"samplename"	"sampleid"	"total"	"extracted"	"cleaned"	"tagdust"	"rdna"	"spikes"	"mapped"	"properpairs"	"counts"	"group"	"group_alpha"	"row"	"col"	"Concentration"	"Run"	"l1"	"r100l1"	"exon"	"intron"	"other"	"promoter"	"unknown"	"genes"
"A01"	"A01"	1	57836	44740	33456	11244	40	0	16191	161	128	"0"	"0.000"	"01"	"A"	0.162	"1772-087-069"	40	35.0039271205037	2	42	0	10	74	12
"A02"	"A02"	2	56608	42798	31358	11404	36	0	15558	166	123	"0"	"0.000"	"02"	"A"	0.176	"1772-087-069"	39	34.5379721514267	0	38	0	9	76	10
"A03"	"A03"	3	79068	60769	49450	11283	36	0	21330	211	159	"0"	"0.000"	"03"	"A"	0.162	"1772-087-069"	49	38.1254606536103	7	36	0	12	104	16
"A04"	"A04"	4	51895	37394	26998	10356	40	0	11657	226	164	"0"	"0.000"	"04"	"A"	0.137	"1772-087-069"	50	37.2111614398046	0	46	0	7	111	15
"A05"	"A05"	5	62074	45786	34516	11239	31	0	18286	291	215	"0"	"0.000"	"05"	"A"	0.152	"1772-087-069"	53	35.389310143205	6	49	0	31	129	20
"A06"	"A06"	6	44003	29504	21978	7471	55	0	10913	149	111	"0"	"0.000"	"06"	"A"	0.167	"1772-087-069"	38	35.6568586737497	1	35	0	9	66	11
"A07"	"A07"	7	60988	42773	28707	14026	40	0	10873	0	0	"0"	"0.000"	"07"	"A"	0.177	"1772-087-069"	0	0	0	0	0	0	0	0
"A08"	"A08"	8	32950	23815	17276	6508	31	0	8403	126	105	"0"	"0.000"	"08"	"A"	0.184	"1772-087-069"	37	35.943113615872	2	24	0	19	60	13
"A09"	"A09"	9	28039	21889	15656	6163	70	0	6973	135	98	"0"	"0.000"	"09"	"A"	0.208	"1772-087-069"	30	30	2	16	0	3	77	9
"A10"	"A10"	10	33938	24986	18511	6455	20	0	9937	120	109	"0"	"0.000"	"10"	"A"	0.153	"1772-087-069"	35	33.546952990095	2	21	0	12	74	8
"A11"	"A11"	11	31996	24512	16077	8352	83	0	7830	208	126	"0"	"0.000"	"11"	"A"	0.161	"1772-087-069"	62	53.5881832709297	17	21	0	16	72	22
"A12"	"A12"	12	31146	24500	16029	8435	36	0	7225	129	102	"0"	"0.000"	"12"	"A"	0.155	"1772-087-069"	37	36.6260920209668	1	30	0	2	69	10
"B01"	"B01"	13	113516	79890	47354	6246	26290	0	37640	22667	14343	"5"	"0.005"	"01"	"B"	0.156	"1772-087-069"	106	14.6436626923082	6204	335	0	1938	5866	38
"B02"	"B02"	14	72654	50406	31768	4061	14577	0	24362	13744	7537	"5"	"0.005"	"02"	"B"	0.197	"1772-087-069"	290	19.1944023935519	1926	419	0	4040	1152	80
"B03"	"B03"	15	106809	62736	50864	6573	5299	0	41386	17864	12282	"5"	"0.005"	"03"	"B"	0.203	"1772-087-069"	142	17.2078607793965	179	261	0	6122	5720	30
"B04"	"B04"	16	80569	47843	34153	6099	7591	0	26392	17496	11951	"5"	"0.005"	"04"	"B"	0.16	"1772-087-069"	154	18.4460447302496	1834	2255	0	4921	2941	51
"B05"	"B05"	17	107056	65211	48808	6118	10285	0	42219	23383	14708	"5"	"0.005"	"05"	"B"	0.154	"1772-087-069"	134	16.7523671451315	132	786	0	2388	11402	31
"B06"	"B06"	18	79748	43397	30860	4525	8012	0	26235	16390	9672	"5"	"0.005"	"06"	"B"	0.186	"1772-087-069"	159	19.5433518518296	365	2462	0	1466	5379	43
"B07"	"B07"	19	110920	65635	51751	4582	9302	0	45950	27813	14672	"5"	"0.005"	"07"	"B"	0.243	"1772-087-069"	211	18.2608034359722	3529	636	0	2961	7546	53
"B08"	"B08"	20	66320	45432	28835	6448	10149	0	23143	13753	8318	"5"	"0.005"	"08"	"B"	0.065	"1772-087-069"	152	19.5978526201891	17	2366	0	2154	3781	39
"B09"	"B09"	21	95686	62955	40331	4706	17918	0	35094	20483	11170	"5"	"0.005"	"09"	"B"	0.23	"1772-087-069"	344	28.2301892849457	14	1154	0	1840	8162	40
