"","samplename","sampleid","total","extracted","tagdust","rdna","spikes","mapped","properpairs","counts","Run","Well","row","column","mean_ch2","bg_mean_ch2","mean_ch3","bg_mean_ch3","Error","Comment","Concentration"
"1772-066-262_A01","1772-066-262_A01",1,71285,39149,334,3783,7382,20417,7932,5855,"1772-066-262","A01","01","A",1527.508,1334.672,11.561,9.51,"0-No Error","No comment",0.604
"1772-066-262_A02","1772-066-262_A02",2,67823,36741,359,3067,5972,19395,7533,5565,"1772-066-262","A02","02","A",1108.525,916.046,9.524,9.585,"0-No Error","No comment",0.654
"1772-066-262_A03","1772-066-262_A03",3,65242,36434,228,5352,5161,20058,10873,8676,"1772-066-262","A03","03","A",1342.814,924.038,9.55,9.532,"4-MultipleCells","No comment",0.67
"1772-066-262_A04","1772-066-262_A04",4,73376,41595,250,5300,5018,25146,13990,10413,"1772-066-262","A04","04","A",1846.858,921.374,10.634,9.735,"4-MultipleCells","Maybe",0.694
"1772-066-262_A05","1772-066-262_A05",5,89267,37574,650,3370,6164,20645,8016,5895,"1772-066-262","A05","05","A",2082.358,934.38,10.082,9.686,"0-No Error","No comment",0.656
"1772-066-262_A06","1772-066-262_A06",6,69113,34570,820,2490,5865,19006,5932,4633,"1772-066-262","A06","06","A",2060.654,916.687,10.007,9.739,"0-No Error","No comment",0.623
"1772-066-262_A07","1772-066-262_A07",7,78647,41450,597,4392,7983,20426,7239,5435,"1772-066-262","A07","07","A",1530.834,942.601,10.297,9.635,"0-No Error","No comment",0.603
"1772-066-262_A08","1772-066-262_A08",8,60514,35486,269,5747,4698,20767,10953,8321,"1772-066-262","A08","08","A",2348.633,910.175,10.575,9.656,"0-No Error","No comment",0.589
"1772-066-262_A09","1772-066-262_A09",9,71172,37870,605,3469,6247,19234,6221,4475,"1772-066-262","A09","09","A",1389.216,906.338,9.994,9.191,"0-No Error","No comment",0.609
"1772-066-262_A10","1772-066-262_A10",10,78195,43273,585,5950,6068,24300,10746,8040,"1772-066-262","A10","10","A",1003.714,908.788,10.855,9.38,"4-MultipleCells","Maybe",0.615
"1772-066-262_A11","1772-066-262_A11",11,94034,47400,1840,5239,5475,28919,13465,10364,"1772-066-262","A11","11","A",1724.066,910.01,11.161,10.045,"4-MultipleCells","No comment",0.612
"1772-066-262_A12","1772-066-262_A12",12,85090,42430,1517,4054,5420,26447,12210,8629,"1772-066-262","A12","12","A",2469.521,908.691,9.975,9.476,"0-No Error","No comment",0.656
