samplename	sampleid
RunA_A01	1
RunA_A02	2
RunA_A03	3
RunA_A04	4
RunA_A05	5
RunA_A06	6
RunA_A07	7
RunA_A08	8
RunA_A09	9
RunA_A10	10
RunA_A11	11
RunA_A12	12
RunA_B01	13
RunA_B02	14
RunA_B03	15
RunA_B04	16
RunA_B05	17
RunA_B06	18
RunA_B07	19
RunA_B08	20
RunA_B09	21
RunA_B10	22
RunA_B11	23
RunA_B12	24
RunA_C01	25
RunA_C02	26
RunA_C03	27
RunA_C04	28
RunA_C05	29
RunA_C06	30
RunA_C07	31
RunA_C08	32
RunA_C09	33
RunA_C10	34
RunA_C11	35
RunA_C12	36
RunA_D01	37
RunA_D02	38
RunA_D03	39
RunA_D04	40
RunA_D05	41
RunA_D06	42
RunA_D07	43
RunA_D08	44
RunA_D09	45
RunA_D10	46
RunA_D11	47
RunA_D12	48
RunA_E01	49
RunA_E02	50
RunA_E03	51
RunA_E04	52
RunA_E05	53
RunA_E06	54
RunA_E07	55
RunA_E08	56
RunA_E09	57
RunA_E10	58
RunA_E11	59
RunA_E12	60
RunA_F01	61
RunA_F02	62
RunA_F03	63
RunA_F04	64
RunA_F05	65
RunA_F06	66
RunA_F07	67
RunA_F08	68
RunA_F09	69
RunA_F10	70
RunA_F11	71
RunA_F12	72
RunA_G01	73
RunA_G02	74
RunA_G03	75
RunA_G04	76
RunA_G05	77
RunA_G06	78
RunA_G07	79
RunA_G08	80
RunA_G09	81
RunA_G10	82
RunA_G11	83
RunA_G12	84
RunA_H01	85
RunA_H02	86
RunA_H03	87
RunA_H04	88
RunA_H05	89
RunA_H06	90
RunA_H07	91
RunA_H08	92
RunA_H09	93
RunA_H10	94
RunA_H11	95
RunA_H12	96
RunB_A01	97
RunB_A02	98
RunB_A03	99
RunB_A04	100
RunB_A05	101
RunB_A06	102
RunB_A07	103
RunB_A08	104
RunB_A09	105
RunB_A10	106
RunB_A11	107
RunB_A12	108
RunB_B01	109
RunB_B02	110
RunB_B03	111
RunB_B04	112
RunB_B05	113
RunB_B06	114
RunB_B07	115
RunB_B08	116
RunB_B09	117
RunB_B10	118
RunB_B11	119
RunB_B12	120
RunB_C01	121
RunB_C02	122
RunB_C03	123
RunB_C04	124
RunB_C05	125
RunB_C06	126
RunB_C07	127
RunB_C08	128
RunB_C09	129
RunB_C10	130
RunB_C11	131
RunB_C12	132
RunB_D01	133
RunB_D02	134
RunB_D03	135
RunB_D04	136
RunB_D05	137
RunB_D06	138
RunB_D07	139
RunB_D08	140
RunB_D09	141
RunB_D10	142
RunB_D11	143
RunB_D12	144
RunB_E01	145
RunB_E02	146
RunB_E03	147
RunB_E04	148
RunB_E05	149
RunB_E06	150
RunB_E07	151
RunB_E08	152
RunB_E09	153
RunB_E10	154
RunB_E11	155
RunB_E12	156
RunB_F01	157
RunB_F02	158
RunB_F03	159
RunB_F04	160
RunB_F05	161
RunB_F06	162
RunB_F07	163
RunB_F08	164
RunB_F09	165
RunB_F10	166
RunB_F11	167
RunB_F12	168
RunB_G01	169
RunB_G02	170
RunB_G03	171
RunB_G04	172
RunB_G05	173
RunB_G06	174
RunB_G07	175
RunB_G08	176
RunB_G09	177
RunB_G10	178
RunB_G11	179
RunB_G12	180
RunB_H01	181
RunB_H02	182
RunB_H03	183
RunB_H04	184
RunB_H05	185
RunB_H06	186
RunB_H07	187
RunB_H08	188
RunB_H09	189
RunB_H10	190
RunB_H11	191
RunB_H12	192
